Date,Close
2025-03-06,5273.75
2025-03-07,5222.62
2025-03-10,5136.08
2025-03-11,5121.84
2025-03-12,5157.12
2025-03-13,5184.82
2025-03-14,5140.61
2025-03-17,5171.40
2025-03-18,5149.13
2025-03-19,5117.11
2025-03-20,5131.36
2025-03-21,5099.80
2025-03-24,5116.45
2025-03-25,5117.11
2025-03-26,5116.56
2025-03-27,5120.43
2025-03-28,5096.24
2025-04-02,5112.24
2025-04-03,5027.23
2025-04-04,4951.47
2025-04-07,4799.01
2025-04-08,4890.33
2025-04-09,4892.88
2025-04-10,4974.07
2025-04-11,4966.02
2025-04-14,5056.28
2025-04-15,5078.26
2025-04-16,5053.41
2025-04-17,5061.52
2025-04-18,5096.93
2025-04-21,5104.35
2025-04-22,5134.40
2025-04-23,5205.34
2025-04-24,5195.82
2025-04-25,5162.61
2025-04-28,5216.47
2025-04-29,5241.30
2025-04-30,5307.15
2025-05-01,5272.80
2025-05-02,5291.37
2025-05-05,5344.68
2025-05-06,5352.97
2025-05-07,5337.52
2025-05-08,5314.06
2025-05-09,5312.55
2025-05-12,5333.93
2025-05-13,5362.68
2025-05-14,5359.72
2025-05-15,5398.77
2025-05-16,5455.41
2025-05-19,5491.25
2025-05-20,5467.31
2025-05-21,5438.42
2025-05-22,5452.76
2025-05-23,5464.16
2025-05-26,5484.46
2025-05-27,5504.60
2025-05-28,5526.54
2025-05-29,5492.66
2025-05-30,5480.51
2025-06-02,5484.72
2025-06-03,5521.85
2025-06-04,5535.93
2025-06-09,5592.75
2025-06-10,5599.45
2025-06-11,5595.50
2025-06-12,5467.10
2025-06-13,5364.69
2025-06-16,5407.00
2025-06-17,5372.36
2025-06-18,5306.31
2025-06-19,5269.97
2025-06-20,5351.60
2025-06-23,5411.30
2025-06-24,5593.01
2025-06-25,5613.39
2025-06-26,5683.91
2025-06-30,5705.76
2025-07-01,5692.50
2025-07-02,5669.15
2025-07-03,5748.20
2025-07-04,5753.27
2025-07-07,5802.62
2025-07-08,5794.39
2025-07-09,5833.78
2025-07-10,5829.88
2025-07-11,5854.99
2025-07-14,5856.58
2025-07-15,5914.05
2025-07-16,5974.43
2025-07-17,6103.09
2025-07-18,6093.76
2025-07-21,6045.04
2025-07-22,6024.79
2025-07-23,6086.19
2025-07-24,6111.46
2025-07-25,6150.46
2025-07-28,6167.68
2025-07-29,6177.81
2025-07-30,6208.41
2025-07-31,6159.15
2025-08-01,6111.97
2025-08-04,6125.60
2025-08-05,6166.38
2025-08-06,6156.01
2025-08-07,6133.13
2025-08-08,6148.51
2025-08-11,6153.29
2025-08-12,6118.50
2025-08-13,6091.45
2025-08-14,6095.33
2025-08-15,6125.96
2025-08-18,6128.97
2025-08-19,6150.94
2025-08-20,6122.11
2025-08-21,6127.71
2025-08-22,6125.89
2025-08-25,6135.37
2025-08-26,6103.12
2025-08-27,6127.45
2025-08-28,6084.16
2025-08-29,6063.61
2025-09-01,5969.31
2025-09-02,6010.89
2025-09-03,5974.08
2025-09-04,5989.21
2025-09-08,5935.43
2025-09-09,5957.91
2025-09-10,5922.57
2025-09-11,5956.76
2025-09-12,6030.55
2025-09-15,6041.12
2025-09-16,5999.68
2025-09-17,5991.11
2025-09-18,5978.69
2025-09-19,6023.21
2025-09-22,6027.15
2025-09-23,5958.85
2025-09-24,5872.12
2025-09-25,5816.56
2025-09-26,5855.31
2025-09-29,5868.64
2025-09-30,5839.64
2025-10-01,5888.48
2025-10-02,5916.48
2025-10-03,5917.60
2025-10-06,5908.05
2025-10-07,5940.12
2025-10-08,5960.44
2025-10-09,5958.19
2025-10-10,5982.16
2025-10-13,5953.03
2025-10-14,6033.22
2025-10-15,6039.09
2025-10-16,6029.27
2025-10-17,5992.18
2025-10-20,5954.79
2025-10-21,5975.80
2025-10-22,5974.09
2025-10-23,6016.01
2025-10-24,6066.23
2025-10-27,6041.09
2025-10-28,6069.56
2025-10-29,6089.23
2025-10-30,6105.02
2025-10-31,6059.43
2025-11-03,6018.79
2025-11-04,6012.73
2025-11-05,5992.23
2025-11-06,6021.76
2025-11-07,6024.80
2025-11-10,6007.83
2025-11-11,6072.06
2025-11-12,6041.94
2025-11-13,5991.16
2025-11-14,5949.54
2025-11-17,5957.49
2025-11-18,5898.93
2025-11-19,5862.09
2025-11-20,5910.96
2025-11-21,5835.56
2025-11-24,5830.85
2025-11-25,5822.99
2025-11-26,5808.72
2025-11-27,5815.24
2025-11-28,5836.89
2025-12-03,5906.64
2025-12-04,5928.02
2025-12-05,5983.54
2025-12-08,5998.25
2025-12-09,6045.00
2025-12-10,6076.48
2025-12-11,6100.06
2025-12-12,6097.47
2025-12-15,6089.38
2025-12-16,6110.07
2025-12-17,6109.45
2025-12-18,6080.64
2025-12-19,6114.32
2025-12-22,6157.90
2025-12-23,6161.84
2025-12-24,6164.03
2025-12-25,6141.60
2025-12-26,6134.23
2025-12-29,6137.33
2025-12-30,6014.95
2025-12-31,6047.09
2026-01-02,6114.03
2026-01-05,6130.40
2026-01-06,6182.55
2026-01-07,6248.56
2026-01-08,6252.99
2026-01-09,6225.94
2026-01-12,6268.31
2026-01-13,6319.30
2026-01-14,6262.40
2026-01-15,6261.94
2026-01-16,6316.14
2026-01-19,6343.53
2026-01-20,6375.28
2026-01-21,6397.34
2026-01-22,6495.17
2026-01-23,6484.38
2026-01-26,6446.15
2026-01-27,6465.67
2026-01-28,6514.04
2026-01-29,6481.58
2026-01-30,6435.36
2026-02-02,6573.36
2026-02-03,6613.52
2026-02-04,6662.12
2026-02-05,6675.06
2026-02-06,6691.00
2026-02-09,6774.38
2026-02-10,6771.60
2026-02-11,6686.27
2026-02-12,6714.60
2026-02-13,6730.11
2026-02-16,6702.03
2026-02-17,6684.35
2026-02-18,6765.07
2026-02-19,6607.69
2026-02-20,6590.53
2026-02-23,6710.88
2026-02-24,6669.21
2026-02-25,6675.84
2026-02-26,6624.93
2026-02-27,6503.50
2026-03-04,6197.19
2026-03-05,6114.71
2026-03-06,5917.22
2026-03-09,5753.55
2026-03-10,5866.53
2026-03-11,5726.32
2026-03-12,5518.08
2026-03-13,5426.28
2026-03-16,5288.70
2026-03-17,5505.68
2026-03-18,5550.24
2026-03-23,5383.02
2026-03-24,5470.90
2026-03-25,5697.71
2026-03-26,5517.85
2026-03-27,5510.99
2026-03-30,5442.62
2026-03-31,5434.41
2026-04-01,5544.61
2026-04-02,5510.71
2026-04-03,5485.17
2026-04-06,5448.07
2026-04-07,5404.10
2026-04-08,5777.47
2026-04-09,5693.71
2026-04-10,5715.47
2026-04-13,5668.26
2026-04-14,5719.50
2026-04-15,5866.31
2026-04-16,5929.51
2026-04-17,5987.42
2026-04-20,5862.11
2026-04-21,5878.28
2026-04-22,5816.03
2026-04-23,5814.04
2026-04-24,5854.19
2026-04-27,5870.62
2026-04-28,5857.83
2026-04-29,5861.30
2026-04-30,5766.05
2026-05-01,5766.85
2026-05-04,5779.90
2026-05-05,5729.07
2026-05-06,5898.42
2026-05-07,5931.87
2026-05-08,5902.21
2026-05-11,5820.18
2026-05-12,5782.89
2026-05-13,5759.17
2026-05-14,5735.38
2026-05-15,5708.78
2026-05-18,5609.58
2026-05-19,5661.90
2026-05-20,5626.91
2026-05-21,5660.69
2026-05-22,5692.82
2026-05-25,5757.48
2026-06-01,5774.90
2026-06-02,5732.30
2026-06-03,5686.41
2026-06-04,5718.46
2026-06-05,5767.77
2026-06-08,5734.81
2026-06-09,5785.24
2026-06-10,5757.93
2026-06-11,5733.88
2026-06-12,5954.04
2026-06-16,6054.98
2026-06-17,6115.97
2026-06-18,6269.51
2026-06-19,6163.50
2026-06-22,6183.47
2026-06-23,6104.98
2026-06-24,6112.04
2026-06-25,6024.59
2026-06-26,6018.35
2026-06-29,5993.35
2026-06-30,5955.58
2026-07-01,6010.07
2026-07-02,5990.59
2026-07-03,6059.14
2026-07-06,6090.65
2026-07-07,6093.98
2026-07-08,6001.93
2026-07-09,5990.88
2026-07-10,6042.55
2026-07-13,5967.43
2026-07-14,5890.99
2026-07-15,5911.36
2026-07-16,5895.93
2026-07-17,5813.93
2026-07-20,5796.28
2026-07-21,5812.37
2026-07-22,5785.31
2026-07-23,5799.04
2026-07-24,5786.97
2026-07-27,5844.07
2026-07-28,5789.73
2026-07-29,5796.79
2026-07-30,5792.16
2026-07-31,5795.93
2026-08-03,5878.49
2026-08-04,5986.07
2026-08-05,6007.85
2026-08-06,5917.96
2026-08-07,5944.50
